nc,ps,unique,redundant,agi,symbol,description,cor262909,cor256629,cor259408,cor259407,cor265857s,average
3,251896_at,T,F,AT3G54390,AT3G54390,sequence-specific DNA binding transcription factors,0.78847569,0.664154424,0.713810307,0.383240969,0.354269146,0.580790107
4,263521_at,T,F,AT2G24960,AT2G24960,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02210.2); Has 1453 Blast hits to 509 proteins in 26 species: Archae - 0; Bacteria - 0; Metazoa - 1; Fungi - 39; Plants - 1363; Viruses - 0; Other Eukaryotes - 50 (source: NCBI BLink).,0.788356016,0.706558276,0.795000074,0.302073612,0.588199433,0.636037482
3,251087_at,T,F,AT5G01460,AT5G01460,LMBR1-like membrane protein,0.787618325,0.596287251,0.684712022,0.060448274,0.44235445,0.514284065
2,259937_s_at,F,NA,AT1G71330,NAP5|ATNAP5,non-intrinsic ABC protein 5,0.787564562,0.4709309,0.59023273,0.227255368,0.088490372,0.432894786
4,261382_at,T,F,AT1G05470,CVP2,DNAse I-like superfamily protein,0.785936707,0.647491208,0.781794994,0.314991894,0.511362947,0.60831555
4,264362_at,T,F,AT1G03290,AT1G03290,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02880.2); Has 13587 Blast hits to 10183 proteins in 1114 species: Archae - 257; Bacteria - 2402; Metazoa - 5637; Fungi - 960; Plants - 675; Viruses - 54; Other Eukaryotes - 3602 (source: NCBI BLink).,0.785595706,0.654435767,0.803229888,0.404754738,0.549719997,0.639547219
3,251306_at,T,F,AT3G61260,AT3G61260,Remorin family protein,0.783676896,0.685421586,0.801991176,0.372710006,0.347582958,0.598276524
3,247514_at,T,F,AT5G61640,PMSR1|ATMSRA1,peptidemethionine sulfoxide reductase 1,0.783385159,0.514835697,0.690148186,0.033516292,0.172285904,0.438834248
3,254282_at,NA,NA,NA,NA,NA,0.783348221,0.571385103,0.651527321,0.374577293,0.444449414,0.56505747
3,265960_at,T,F,AT2G37470,AT2G37470,Histone superfamily protein,0.783310764,0.534413302,0.62503591,0.003160626,0.160606636,0.421305448
3,253022_at,T,F,AT4G38060,AT4G38060,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G65480.1); Has 63 Blast hits to 63 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 63; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.783269056,0.582621784,0.623633878,0.122792507,0.160325592,0.454528563
2,254686_at,T,F,AT4G13720,AT4G13720,Inosine triphosphate pyrophosphatase family protein,0.783021177,0.385058953,0.514039118,0.209715576,0.234674059,0.425301777
2,251948_at,T,F,AT3G53580,AT3G53580,diaminopimelate epimerase family protein,0.781691553,0.364724246,0.691097579,0.293046222,0.298883779,0.485888676
3,264031_at,T,F,AT2G03780,AT2G03780,Translin family protein,0.78108699,0.560807229,0.747683699,0.32605537,0.333261958,0.549779049
3,247528_at,T,F,AT5G61460,MIM|ATRAD18|SMC6B,P-loop containing nucleoside triphosphate hydrolases superfamily protein,0.781029233,0.557506925,0.722185283,0.143819666,0.389854629,0.518879147
3,252898_at,T,F,AT4G39500,CYP96A11,"cytochrome P450, family 96, subfamily A, polypeptide 11",0.78044622,0.518059555,0.556934837,0.061263835,0.319753069,0.447291503
3,246827_at,T,F,AT5G26330,AT5G26330,Cupredoxin superfamily protein,0.779971028,0.75405527,0.860439018,0.270270833,0.444530145,0.621853259
3,261065_at,T,F,AT1G07500,AT1G07500,unknown protein; Has 4 Blast hits to 4 proteins in 3 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 4; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.779682317,0.60072861,0.771818131,0.115594334,0.202172994,0.493999277
3,246891_at,T,F,AT5G25490,AT5G25490,Ran BP2/NZF zinc finger-like superfamily protein,0.779398422,0.598131377,0.775650865,0.170278951,0.435897591,0.551871441
3,245637_at,T,F,AT1G25230,AT1G25230,Calcineurin-like metallo-phosphoesterase superfamily protein,0.778666844,0.576610962,0.578302167,0.229795143,0.075562156,0.447787454
5,251594_at,T,F,AT3G57630,AT3G57630,exostosin family protein,0.777519205,0.731119923,0.814382691,0.53575444,0.505272075,0.672809667
3,252269_at,T,F,AT3G49580,LSU1,response to low sulfur 1,0.777385909,0.562713356,0.7671025,0.280051445,0.389859203,0.555422482
3,251247_at,T,F,AT3G62140,AT3G62140,"CONTAINS InterPro DOMAIN/s: NEFA-interacting nuclear protein NIP30, N-terminal (InterPro:IPR019331); Has 398 Blast hits to 395 proteins in 139 species: Archae - 0; Bacteria - 6; Metazoa - 193; Fungi - 83; Plants - 36; Viruses - 0; Other Eukaryotes - 80 (source: NCBI BLink).",0.777197074,0.539578914,0.728576374,0.169439725,0.490891733,0.541136764
4,267300_at,T,F,AT2G30140,AT2G30140,UDP-Glycosyltransferase superfamily protein,0.775488669,0.75723443,0.859732995,0.455833997,0.584592557,0.68657653
3,266371_at,T,F,AT2G41410,AT2G41410,Calcium-binding EF-hand family protein,0.774198617,0.581541126,0.818975131,0.466840622,0.423317205,0.61297454
3,255664_at,T,F,AT4G00440,AT4G00440,Protein of unknown function (DUF3741),0.774014986,0.602028152,0.709518708,0.251995276,0.334571956,0.534425816
4,252676_at,T,F,AT3G44280,AT3G44280,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G22280.1); Has 82 Blast hits to 82 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 82; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.773103393,0.681013059,0.746627094,0.138359143,0.526028443,0.573026227
3,260738_at,T,F,AT1G14990,AT1G14990,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 34 Blast hits to 34 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.772373682,0.646352973,0.530372604,0.072104138,0.246718642,0.453584408
2,267606_at,T,F,AT2G26640,KCS11,3-ketoacyl-CoA synthase 11,0.7709218,0.437449251,0.504016329,0.006008082,0.134871976,0.370653488
3,262558_at,T,F,AT1G31335,AT1G31335,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 13 growth stages; Has 34 Blast hits to 34 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.769594583,0.600198659,0.640936036,0.275187237,0.403796603,0.537942623
3,250811_at,T,F,AT5G05110,AT5G05110,Cystatin/monellin family protein,0.769142772,0.644305612,0.840549006,0.165796138,0.430457108,0.570050127
3,267524_at,T,T,AT2G30600,AT2G30600,BTB/POZ domain-containing protein,0.768872143,0.642644752,0.701698387,0.302323286,0.155023186,0.514112351
3,252361_at,T,F,AT3G48490,AT3G48490,unknown protein; Has 16 Blast hits to 16 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 1; Plants - 15; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.768609242,0.61389139,0.695488233,0.198643811,0.463699443,0.548066424
3,266215_at,T,F,AT2G06850,EXT|XTH4|EXGT-A1,xyloglucan endotransglucosylase/hydrolase 4,0.768384811,0.688448365,0.822431531,0.266971928,0.462721751,0.601791677
3,257249_at,T,F,AT3G24180,AT3G24180,"Beta-glucosidase, GBA2 type family protein",0.767406061,0.753419718,0.789377334,0.488733114,0.39847875,0.639482996
2,258659_at,T,F,AT3G09880,ATB' BETA,Protein phosphatase 2A regulatory B subunit family protein,0.76736981,0.337378025,0.558148409,0.136318686,0.035307776,0.366904541
3,262456_at,T,F,AT1G11260,STP1|ATSTP1,sugar transporter 1,0.766953664,0.61973583,0.65824466,0.192267726,0.091552704,0.465750917
4,261767_s_at,F,NA,AT1G80300,ATNTT1|NTT1,nucleotide transporter 1,0.766157879,0.620966891,0.791288457,0.46273435,0.51760846,0.631751207
3,266479_at,T,F,AT2G31160,LSH3,Protein of unknown function (DUF640),0.766129089,0.609149411,0.694300359,0.424462361,0.368461515,0.572500547
3,264440_at,T,F,AT1G27340,AT1G27340,Galactose oxidase/kelch repeat superfamily protein,0.76508728,0.712461885,0.682424535,0.361781148,0.455142063,0.595379382
4,263582_at,T,F,AT2G17120,LYM2,lysm domain GPI-anchored protein 2 precursor,0.764323614,0.670956463,0.717642585,0.654441212,0.45347519,0.652167813
3,253036_at,T,F,AT4G38340,AT4G38340,Plant regulator RWP-RK family protein,0.763910863,0.602695072,0.696873122,0.224202055,0.444599483,0.546456119
2,246749_at,T,F,AT5G27830,AT5G27830,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Folate receptor, conserved region (InterPro:IPR018143); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",0.763694096,0.439431067,0.541229555,0.056392318,0.285005584,0.417150524
3,250027_at,T,F,AT5G18250,AT5G18250,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G04040.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,0.763334478,0.572693576,0.582708241,0.058123018,0.074181731,0.410208209
3,257914_at,T,F,AT3G25545,AT3G25545,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 38 Blast hits to 38 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 38; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.763332876,0.559336496,0.744766581,0.025320104,0.269615374,0.472474286
3,245605_at,T,F,AT4G14300,AT4G14300,RNA-binding (RRM/RBD/RNP motifs) family protein,0.762924642,0.559176396,0.82882544,0.390708052,0.329553293,0.574237564
3,248152_at,T,F,AT5G54260,MRE11|ATMRE11,DNA repair and meiosis protein (Mre11),0.76126105,0.500082041,0.650646183,0.361132501,0.115956703,0.477815696
3,258796_at,T,F,AT3G04630,WDL1,WVD2-like 1,0.760445093,0.563768035,0.593031047,0.278951391,0.131807075,0.465600528
3,251273_at,T,F,AT3G61960,AT3G61960,Protein kinase superfamily protein,0.759671418,0.553004407,0.657767551,0.004173244,0.185450812,0.432013486
3,255340_at,T,F,AT4G04490,CRK36,cysteine-rich RLK (RECEPTOR-like protein kinase) 36,0.759329762,0.521303581,0.647389675,0.224353748,0.439975834,0.51847052
3,252628_at,T,F,AT3G44960,AT3G44960,unknown protein; Has 34 Blast hits to 34 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 0; Plants - 31; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.758778957,0.608982075,0.703164661,0.413946597,0.417797179,0.580533894
3,255240_at,T,F,AT4G05530,SDRA|IBR1,indole-3-butyric acid response 1,0.758085381,0.697495788,0.863750137,0.221783006,0.363820725,0.580987007
3,251975_at,T,F,AT3G53230,AT3G53230,"ATPase, AAA-type, CDC48 protein",0.757877586,0.717838019,0.891189726,0.378954693,0.48389203,0.645950411
4,255624_at,T,F,AT4G01370,MPK4|ATMPK4,MAP kinase 4,0.757752785,0.775436292,0.804387452,0.390358378,0.600460267,0.665679035
2,261384_at,T,F,AT1G05440,AT1G05440,C-8 sterol isomerases,0.756820803,0.418534431,0.512362396,0.102119849,0.253247468,0.408616989
3,267402_at,T,F,AT2G26180,IQD6,IQ-domain 6,0.756082762,0.555907235,0.616568435,0.296239726,0.325826721,0.510124976
4,251733_at,T,F,AT3G56240,CCH,copper chaperone,0.755066862,0.754931562,0.872356574,0.339387936,0.614515556,0.667251698
2,267483_at,T,F,AT2G02810,UTR1|ATUTR1,UDP-galactose transporter 1,0.754768763,0.464564188,0.623287382,0.323880599,0.104391669,0.45417852
3,258849_at,T,F,AT3G03250,AtUGP1|UGP|UGP1,UDP-GLUCOSE PYROPHOSPHORYLASE 1,0.754767708,0.591319788,0.758361745,0.216874912,0.266408926,0.517546616
3,256664_at,T,F,AT3G12040,AT3G12040,DNA-3-methyladenine glycosylase (MAG),0.754749009,0.618887381,0.750329073,0.246683399,0.327887534,0.539707279
3,249951_at,T,F,AT5G18930,BUD2|SAMDC4,Adenosylmethionine decarboxylase family protein,0.75428853,0.605365399,0.709994431,0.348783366,0.455776775,0.5748417
2,262914_at,T,F,AT1G59750,ARF1,auxin response factor 1,0.754039111,0.487374965,0.58931646,0.349147308,0.389633424,0.513902254
3,245499_at,T,F,AT4G16480,INT4|ATINT4,inositol transporter 4,0.753991863,0.646193397,0.779427625,0.333290635,0.273819269,0.557344558
2,247293_at,T,F,AT5G64510,AT5G64510,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 10 growth stages; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).,0.752849117,0.443440411,0.504056645,0.05503017,0.019295183,0.354934305
3,261252_at,T,F,AT1G05810,RABA5E|ARA|ATRAB11D|ARA-1|ATRABA5E,RAB GTPase homolog A5E,0.752689168,0.694566165,0.749662982,0.129506856,0.410508475,0.547386729
4,254393_at,T,F,AT4G21580,AT4G21580,"oxidoreductase, zinc-binding dehydrogenase family protein",0.752305917,0.775617066,0.918453301,0.34809243,0.593873564,0.677668455
