nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.262909_at,cor.256629_at,cor.259408_at,cor.259407_at,cor.265857_s_at,average
5,267015_at,T,F,AT2G39340,AT2G39340,SAC3/GANP/Nin1/mts3/eIF-3 p25 family,0.503956228,0.521163705,0.574023767,0.515267909,0.566616709,0.536205663
5,267428_at,T,F,AT2G34840,AT2G34840,Coatomer epsilon subunit,0.576695575,0.666489107,0.850041629,0.501433191,0.770699962,0.673071893
4,244901_at,T,F,ATMG00640,ORF25,"hydrogen ion transporting ATP synthases, rotational mechanism;zinc ion binding",0.743827303,0.775848309,0.67000256,0.268019724,0.791288876,0.649797354
4,244916_at,F,NA,AT2G07682,AT2G07682,"gypsy-like retrotransposon family, has a 2.1e-65 P-value blast match to GB:AAD22153 polyprotein (Gypsy_Ty3-element) (Sorghum bicolor)",0.630193912,0.721194139,0.680426867,0.311213853,0.859718445,0.640549443
4,244920_s_at,F,NA,AT2G07751,AT2G07751,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 protein",0.630139851,0.779930487,0.534440123,0.052322653,0.789950979,0.557356819
4,244927_at,F,NA,AT2G07663,AT2G07663,Pseudogene of AT2G07776,0.54611685,0.700206102,0.629051149,0.072368822,0.802920942,0.550132773
4,244932_at,T,F,ATCG01060,PSAC,"iron-sulfur cluster binding;electron carriers;4 iron, 4 sulfur cluster binding",0.573902271,0.861772496,0.893604387,0.117731725,0.895669562,0.668536088
4,244933_at,T,F,ATCG01070,NDHE,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,0.549936163,0.821663551,0.840651443,0.048653985,0.889373397,0.630055708
4,244934_at,T,F,ATCG01080,NDHG,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 6",0.59810357,0.871593618,0.845643293,0.060104504,0.933163944,0.661721786
4,244935_at,T,F,ATCG01090,NDHI,NADPH dehydrogenases,0.632303592,0.887783093,0.890514361,0.204979942,0.903286365,0.70377347
4,244936_at,T,F,ATCG01100,NDHA,NADH dehydrogenase family protein,0.614242637,0.872890721,0.890573051,0.195785239,0.902090027,0.695116335
4,244937_at,T,F,ATCG01110,NDHH,NAD(P)H dehydrogenase subunit H,0.605940362,0.87693292,0.918339173,0.157890275,0.923397149,0.696499976
4,244938_at,T,F,ATCG01120,RPS15,chloroplast ribosomal protein S15,0.6206434,0.840537698,0.910065233,0.282060154,0.875353428,0.705731983
4,244939_at,T,F,ATCG00065,RPS12|RPS12A,ribosomal protein S12A,0.552350954,0.834521496,0.900027907,0.233283845,0.853258976,0.674688635
4,244940_at,F,NA,ATCG01230,RPS12B|RPS12,ribosomal protein S12B,0.545059244,0.776583292,0.863639222,0.273529245,0.791513116,0.650064823
4,244946_at,NA,NA,NA,NA,NA,0.651207412,0.813417705,0.666526676,0.295958288,0.733493715,0.632120759
4,244960_at,T,F,ATCG01020,RPL32,ribosomal protein L32,0.638040305,0.892352501,0.827124646,0.214354266,0.855134151,0.685401174
4,244961_at,T,F,ATCG01040,YCF5,Cytochrome C assembly protein,0.609656493,0.872528698,0.907713091,0.209744597,0.891520252,0.698232626
4,244962_at,T,F,ATCG01050,NDHD,NADH-Ubiquinone/plastoquinone (complex I) protein,0.621711814,0.879996101,0.88545996,0.181085126,0.90614979,0.694880558
4,244963_at,T,F,ATCG00570,PSBF,photosystem II reaction center protein F,0.521292678,0.806660445,0.893876851,0.11752365,0.864214438,0.640713612
4,244964_at,T,F,ATCG00580,PSBE,photosystem II reaction center protein E,0.554242114,0.843560072,0.90364379,0.11874312,0.887175979,0.661473015
4,244965_at,T,F,ATCG00590,ORF31,electron carriers,0.619863538,0.882911926,0.890719654,0.184647039,0.899610073,0.695550446
4,244966_at,T,F,ATCG00600,PETG,PETG,0.60620206,0.8703613,0.858928671,0.082060422,0.920467768,0.667604044
4,244967_at,T,F,ATCG00630,PSAJ,PSAJ,0.553419692,0.825702131,0.908173137,0.187278394,0.861918844,0.667298439
4,244968_at,T,F,ATCG00640,RPL33,ribosomal protein L33,0.658203323,0.863106072,0.888652486,0.211152663,0.911549927,0.706532894
4,244969_at,T,F,ATCG00650,RPS18,ribosomal protein S18,0.642105742,0.871061484,0.90542317,0.232148848,0.901186857,0.71038522
4,244970_at,T,F,ATCG00660,RPL20,ribosomal protein L20,0.597887646,0.80883566,0.872090441,0.302285679,0.836384486,0.683496782
4,244971_at,T,F,ATCG00670,PCLPP|CLPP1,plastid-encoded CLP P,0.578212395,0.809253685,0.887872139,0.306707478,0.824138932,0.681236926
4,244972_at,T,F,ATCG00680,PSBB,photosystem II reaction center protein B,0.537946814,0.820225503,0.818818591,0.011757999,0.904915007,0.618732783
4,244973_at,T,F,ATCG00690,PSBT|PSBTC,photosystem II reaction center protein T,0.559007182,0.810987052,0.80519539,0.055856943,0.883108522,0.622831018
4,244974_at,T,F,ATCG00700,PSBN,photosystem II reaction center protein N,0.67158347,0.891027529,0.857775172,0.158125906,0.927617618,0.701225939
4,244975_at,T,F,ATCG00710,PSBH,photosystem II reaction center protein H,0.612143312,0.874321932,0.890554803,0.176794571,0.911317945,0.693026513
4,244976_at,T,F,ATCG00720,PETB,photosynthetic electron transfer B,0.633298359,0.877194314,0.879482521,0.18898429,0.885548311,0.692901559
4,244977_at,T,F,ATCG00730,PETD,photosynthetic electron transfer D,0.615893459,0.881902196,0.880290074,0.145059136,0.92056861,0.688742695
4,244978_at,T,F,ATCG00740,RPOA,RNA polymerase subunit alpha,0.700622815,0.90689904,0.828476514,0.160785023,0.90656996,0.70067067
4,244979_at,T,F,ATCG00750,RPS11,ribosomal protein S11,0.636651656,0.877997918,0.889709319,0.133784106,0.915543625,0.690737325
4,244980_at,T,F,ATCG00760,RPL36,ribosomal protein L36,0.650319493,0.879343029,0.879755454,0.141493344,0.915163382,0.69321494
4,244981_at,T,F,ATCG00770,RPS8,ribosomal protein S8,0.596111496,0.860299089,0.904190276,0.146595775,0.887933995,0.679026126
4,244982_at,T,F,ATCG00780,RPL14,ribosomal protein L14,0.597354161,0.853469242,0.913262556,0.191157096,0.874932599,0.686035131
4,244983_at,T,F,ATCG00790,RPL16,ribosomal protein L16,0.641873097,0.865303962,0.874668131,0.227582521,0.878630905,0.697611723
4,244984_at,T,F,ATCG00800,ATCG00800,structural constituent of ribosome,0.622104023,0.878180523,0.882932316,0.198412235,0.878394778,0.692004775
4,244985_at,T,F,ATCG00810,RPL22,ribosomal protein L22,0.600898845,0.83916199,0.899999551,0.194966903,0.88242844,0.683491146
4,244986_at,T,F,ATCG00820,RPS19,ribosomal protein S19,0.593526074,0.83459324,0.898199304,0.276922683,0.841540405,0.688956341
4,244987_s_at,F,NA,ATCG00830,RPL2.1,ribosomal protein L2,0.560051603,0.795910196,0.875090381,0.292650006,0.79555159,0.663850755
4,244988_s_at,F,NA,ATCG00840,RPL23.1|RPL23,ribosomal protein L23.1,0.613735709,0.860166225,0.901148082,0.1894842,0.885419807,0.689990805
4,244989_s_at,F,NA,ATCG01280,YCF2.2,"Chloroplast Ycf2;ATPase, AAA type, core",0.67624121,0.877751181,0.761109986,0.117674235,0.888742705,0.664303864
4,244990_s_at,F,NA,ATCG00870,ORF77.1,"Protein precursor Ycf15, putative, chloroplast",0.532637278,0.808911234,0.786911018,0.169713012,0.806230475,0.620880603
4,244991_s_at,F,NA,ATCG01250,NDHB.2,NADH-Ubiquinone/plastoquinone (complex I) protein,0.64773408,0.89043479,0.810041758,0.115270207,0.919179781,0.676532123
4,244992_s_at,F,NA,ATCG01240,RPS7.2,ribosomal protein S7,0.53827835,0.777860309,0.857514066,0.27567379,0.759849659,0.641835235
4,244993_s_at,F,NA,ATCG01000,YCF1.1,Ycf1 protein,0.566019246,0.840678938,0.903340682,0.217585574,0.831012287,0.671727345
4,244994_at,T,F,ATCG01010,NDHF,"NADH-Ubiquinone oxidoreductase (complex I), chain 5 protein",0.521165904,0.825515256,0.923172618,0.245746202,0.857191904,0.674558377
4,244995_at,T,F,ATCG00150,ATPI,"ATPase, F0 complex, subunit A protein",0.542653179,0.850980505,0.873039553,0.066111192,0.894530298,0.645462945
4,244996_at,T,F,ATCG00160,RPS2,ribosomal protein S2,0.568970384,0.814776973,0.883039561,0.23634184,0.853745177,0.671374787
4,244997_at,T,F,ATCG00170,RPOC2,DNA-directed RNA polymerase family protein,0.515809203,0.807512623,0.941281268,0.237004512,0.812097357,0.662740993
4,244998_at,T,F,ATCG00180,RPOC1,DNA-directed RNA polymerase family protein,0.649539905,0.866938699,0.893592,0.233017082,0.893135892,0.707244716
4,244999_at,T,F,ATCG00190,RPOB,RNA polymerase subunit beta,0.550605962,0.846528983,0.85220035,0.057224747,0.894033861,0.640118781
4,245001_at,T,F,ATCG00220,PSBM,photosystem II reaction center protein M,0.617677576,0.898638961,0.867250482,0.118925594,0.92139981,0.684778485
4,245002_at,T,F,ATCG00270,PSBD,photosystem II reaction center protein D,0.643400305,0.884805189,0.870467488,0.131116866,0.945366221,0.695031214
4,245003_at,T,F,ATCG00280,PSBC,photosystem II reaction center protein C,0.629405356,0.869328845,0.887776544,0.196988129,0.923969337,0.701493642
4,245004_at,T,F,ATCG00300,YCF9,YCF9,0.643649249,0.868764799,0.880438912,0.228342934,0.908899101,0.706018999
4,245005_at,T,F,ATCG00330,RPS14,chloroplast ribosomal protein S14,0.625256642,0.847729064,0.696229973,0.071424003,0.892921232,0.626712183
4,245006_at,T,F,ATCG00340,PSAB,"Photosystem I, PsaA/PsaB protein",0.587706092,0.83291907,0.872151122,0.268314698,0.837950597,0.679808316
4,245007_at,T,F,ATCG00350,PSAA,"Photosystem I, PsaA/PsaB protein",0.581780288,0.863977701,0.904443328,0.193436073,0.886452984,0.686018075
4,245008_at,T,F,ATCG00360,YCF3,Tetratricopeptide repeat (TPR)-like superfamily protein,0.59688712,0.856508257,0.90087722,0.190806355,0.893012647,0.68761832
4,245009_at,T,F,ATCG00380,RPS4,chloroplast ribosomal protein S4,0.569296844,0.808736598,0.888627021,0.284397342,0.825306258,0.675272813
4,245010_at,T,F,ATCG00420,NDHJ,NADH dehydrogenase subunit J,0.649406258,0.905244541,0.887706052,0.163138389,0.940485665,0.709196181
4,245011_at,T,F,ATCG00430,PSBG,photosystem II reaction center protein G,0.639802088,0.899660579,0.87826406,0.143242022,0.94378608,0.700950966
4,245012_at,T,F,ATCG00440,NDHC,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 protein",0.678754533,0.914240408,0.863888758,0.16687513,0.934531676,0.711658101
4,245013_at,T,F,ATCG00470,ATPE,ATP synthase epsilon chain,0.60690111,0.854355481,0.891677351,0.234820737,0.864738204,0.690498577
4,245014_at,T,F,ATCG00480,PB|ATPB,ATP synthase subunit beta,0.55358576,0.817771038,0.885160368,0.204405853,0.825604741,0.657305552
4,245015_at,T,F,ATCG00490,RBCL,ribulose-bisphosphate carboxylases,0.613933888,0.864933287,0.908628644,0.236043368,0.894018205,0.703511478
4,245016_at,T,F,ATCG00500,ACCD,acetyl-CoA carboxylase carboxyl transferase subunit beta,0.511741669,0.780021034,0.874983647,0.202375251,0.813741129,0.636572546
4,245017_at,T,F,ATCG00510,PSAI,photsystem I subunit I,0.590235436,0.845376191,0.892827134,0.242060985,0.864389966,0.686977942
4,245018_at,T,F,ATCG00520,YCF4,unfolded protein binding,0.628386721,0.864958798,0.881652289,0.218644943,0.904935266,0.699715603
4,245019_at,T,F,ATCG00530,YCF10,CemA-like proton extrusion protein-related,0.617847791,0.854633852,0.884708354,0.236867223,0.888616571,0.696534758
4,245020_at,T,F,ATCG00540,PETA,photosynthetic electron transfer A,0.633859952,0.862944902,0.890020869,0.259991762,0.886386066,0.70664071
4,245021_at,T,F,ATCG00550,PSBJ,photosystem II reaction center protein J,0.629834821,0.878641281,0.874137894,0.188090965,0.8904307,0.692227132
4,245022_at,T,F,ATCG00560,PSBL,photosystem II reaction center protein L,0.620934165,0.87675953,0.879645098,0.17015424,0.905222247,0.690543056
4,245023_at,T,F,ATCG00080,PSBI,photosystem II reaction center protein I,0.627008438,0.871460246,0.883251817,0.210011969,0.888431041,0.696032702
4,245024_at,T,F,ATCG00120,ATPA,ATP synthase subunit alpha,0.626509454,0.89081775,0.895135262,0.181934296,0.919751909,0.702829734
4,245025_at,T,F,ATCG00130,ATPF,"ATPase, F0 complex, subunit B/B', bacterial/chloroplast",0.643595415,0.889789086,0.88390801,0.171289923,0.926128234,0.702942134
4,245026_at,T,F,ATCG00140,ATPH,ATP synthase subunit C family protein,0.610478667,0.858045536,0.82200748,0.040481172,0.924449397,0.651092451
4,245027_at,T,F,AT2G26550,HO2,heme oxygenase 2,0.635491348,0.906810997,0.845212608,0.113749443,0.922556341,0.684764148
4,245029_at,T,F,AT2G26580,YAB5,plant-specific transcription factor YABBY family protein,0.608525113,0.905385794,0.856014515,0.060979029,0.923350285,0.670850947
4,245031_at,T,F,AT2G26360,AT2G26360,Mitochondrial substrate carrier family protein,0.662493609,0.867437699,0.861340958,0.139882484,0.912470039,0.688724958
4,245035_at,T,F,AT2G26400,ARD3|ARD|ATARD3,acireductone dioxygenase 3,0.614668437,0.841604723,0.865232748,0.145041449,0.910999145,0.675509301
4,245036_at,T,F,AT2G26410,Iqd4,IQ-domain 4,0.665253473,0.88258545,0.849304071,0.249617558,0.873202115,0.703992533
4,245037_at,T,F,AT2G26420,PIP5K3,1-phosphatidylinositol-4-phosphate 5-kinase 3,0.601989568,0.824159476,0.791247888,0.218561286,0.858371121,0.658865868
4,245039_at,T,F,AT2G26600,AT2G26600,Glycosyl hydrolase superfamily protein,0.596679055,0.781603865,0.837857082,0.184028233,0.807269693,0.641487586
4,245042_at,T,F,AT2G26540,DUF3|ATDUF3|HEMD|ATUROS|UROS,uroporphyrinogen-III synthase family protein,0.663121619,0.934713045,0.839327816,0.104452785,0.94137541,0.696598135
4,245044_at,T,F,AT2G26500,AT2G26500,"cytochrome b6f complex subunit (petM), putative",0.652892544,0.911246413,0.871947164,0.141267714,0.92866819,0.701204405
4,245045_at,T,F,AT2G26590,RPN13,regulatory particle non-ATPase 13,0.506596362,0.872628742,0.829052989,0.098592185,0.857956288,0.632965313
4,245046_at,T,F,AT2G26510,PDE135,Xanthine/uracil permease family protein,0.594772071,0.652774403,0.835670853,0.269090849,0.827032912,0.635868217
4,245047_at,T,F,ATCG00020,PSBA,photosystem II reaction center protein A,0.656317371,0.900047389,0.863962308,0.143484446,0.94309183,0.701380669
4,245048_at,T,F,ATCG00040,MATK,maturase K,0.624976886,0.852990346,0.898474483,0.276614855,0.88884435,0.708380184
4,245049_at,T,F,ATCG00050,RPS16,ribosomal protein S16,0.64840397,0.882860374,0.896561027,0.162737542,0.902275176,0.698567618
4,245050_at,T,F,ATCG00070,PSBK,photosystem II reaction center protein K precursor,0.624312689,0.859416217,0.883579221,0.194794509,0.899770215,0.69237457
4,245053_at,T,F,AT2G26450,AT2G26450,Plant invertase/pectin methylesterase inhibitor superfamily,0.686265991,0.831747901,0.764173041,0.120460895,0.824304386,0.645390443
4,245056_at,T,F,AT2G26480,UGT76D1,UDP-glucosyl transferase 76D1,0.622965029,0.863599489,0.863404823,0.129893531,0.877614367,0.671495448
4,245057_at,T,F,AT2G26490,AT2G26490,Transducin/WD40 repeat-like superfamily protein,0.614670795,0.82798746,0.604334634,0.097128101,0.770390729,0.582902344
4,245061_at,T,F,AT2G39730,RCA,rubisco activase,0.662873121,0.893686443,0.876327435,0.176757142,0.943819624,0.710692753
4,245062_at,T,F,AT2G39760,BPM3|ATBPM3,BTB/POZ/MATH-domains containing protein,0.559723998,0.746243967,0.84481034,0.322991456,0.79357629,0.65346921
4,245063_at,T,F,AT2G39795,AT2G39795,Mitochondrial glycoprotein family protein,0.609210262,0.718643871,0.727532331,0.132093324,0.83513717,0.604523392
4,245064_at,T,F,AT2G39725,AT2G39725,LYR family of Fe/S cluster biogenesis protein,0.65352618,0.739001436,0.873476854,0.426883287,0.856740653,0.709925682
4,245072_s_at,F,NA,AT2G23190,CYP81D7,"cytochrome P450, family 81, subfamily D, polypeptide 7",0.580089681,0.823138316,0.724800661,0.200288973,0.79481454,0.624626434
4,245075_at,T,F,AT2G23180,CYP96A1,"cytochrome P450, family 96, subfamily A, polypeptide 1",0.709334695,0.89868423,0.737664143,0.091051296,0.921600353,0.671666943
4,245076_at,T,F,AT2G23170,GH3.3,Auxin-responsive GH3 family protein,0.631609098,0.788276031,0.742292966,0.279087707,0.7750847,0.6432701
4,245077_at,T,F,AT2G23160,AT2G23160,F-box family protein,0.631569631,0.794403384,0.758265585,0.234104313,0.798634933,0.643395569
4,245080_at,T,F,AT2G23300,AT2G23300,Leucine-rich repeat protein kinase family protein,0.663211432,0.926882446,0.866838092,0.219708815,0.935587615,0.72244568
4,245081_at,NA,NA,NA,NA,NA,0.6632316,0.899364946,0.760033049,0.149460167,0.826336297,0.659685212
4,245083_at,T,F,AT2G23310,ATRER1C1,Rer1 family protein,0.700815334,0.83396037,0.853702849,0.366963951,0.89132092,0.729352685
4,245087_at,T,F,AT2G39830,DAR2,DA1-related protein 2,0.503359942,0.709252983,0.838950168,0.218044669,0.752162164,0.604353985
4,245088_at,T,F,AT2G39850,AT2G39850,Subtilisin-like serine endopeptidase family protein,0.672937661,0.899972036,0.859558962,0.158179865,0.945397261,0.707209157
4,245089_at,T,F,AT2G45290,AT2G45290,Transketolase,0.64251467,0.889875348,0.888229684,0.200213976,0.914472703,0.707061276
4,245090_at,T,F,AT2G40900,AT2G40900,nodulin MtN21 /EamA-like transporter family protein,0.672992235,0.91888252,0.849111664,0.179892387,0.948298393,0.71383544
4,245095_at,T,F,AT2G40860,AT2G40860,protein kinase family protein / protein phosphatase 2C ( PP2C) family protein,0.510412123,0.818101591,0.736552386,0.047904393,0.829760608,0.58854622
4,245096_at,T,F,AT2G40880,ATCYSA|CYSA|FL3-27,cystatin A,0.624203582,0.860520217,0.822503028,0.083742278,0.92664826,0.663523473
4,245098_at,T,F,AT2G40940,ERS1|ERS,ethylene response sensor 1,0.737331542,0.793924444,0.807680617,0.429315373,0.845235222,0.72269744
4,245100_at,T,F,AT2G40930,ATUBP5|PDE323|UBP5,ubiquitin-specific protease 5,0.540101163,0.679965309,0.83691412,0.136042647,0.823586899,0.603322028
4,245103_at,T,F,AT2G41590,AT2G41590,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G25200.1); Has 221 Blast hits to 217 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 221; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.591709327,0.764052918,0.86587218,0.260400886,0.852402737,0.66688761
4,245106_at,T,F,AT2G41650,AT2G41650,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 3 Blast hits to 3 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 3; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.616095013,0.855983922,0.753632065,0.011654833,0.87761096,0.622995359
4,245107_at,T,F,AT2G41690,HSFB3|AT-HSFB3,heat shock transcription factor B3,0.607519646,0.805885974,0.787304525,0.06667008,0.887874222,0.63105089
4,245112_at,T,F,AT2G41540,GPDHC1,6-phosphogluconate dehydrogenase family protein,0.634109703,0.784889918,0.880936295,0.25048142,0.851824082,0.680448284
4,245113_at,T,F,AT2G41660,MIZ1,"Protein of unknown function, DUF617",0.680761052,0.899213879,0.805457191,0.208082764,0.935129293,0.705728836
4,245116_at,T,F,AT2G41620,AT2G41620,Nucleoporin interacting component (Nup93/Nic96-like) family protein,0.625992103,0.826947819,0.822601957,0.102981727,0.910218377,0.657748396
4,245117_at,T,F,AT2G41560,ACA4,"autoinhibited Ca(2+)-ATPase, isoform 4",0.621734482,0.856996707,0.798959726,0.162649469,0.871849383,0.662437953
4,245118_at,T,F,AT2G41680,NTRC,NADPH-dependent thioredoxin reductase C,0.694771795,0.883761628,0.883729804,0.183980069,0.940262039,0.717301067
4,245121_at,T,F,AT2G47610,AT2G47610,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein,0.715101194,0.918619633,0.759595881,0.14655061,0.922328109,0.692439085
4,245122_at,T,F,AT2G47420,AT2G47420,Ribosomal RNA adenine dimethylase family protein,0.552937478,0.878701952,0.65824594,0.086955292,0.832152057,0.601798544
4,245123_at,T,F,AT2G47450,CAO|CPSRP43,chloroplast signal recognition particle component (CAO),0.653755642,0.898300179,0.86749198,0.166087222,0.928113974,0.702749799
4,245125_at,T,F,AT2G47430,CKI1,Signal transduction histidine kinase,0.55586662,0.563984199,0.569295494,0.243420826,0.764490143,0.539411456
4,245126_at,T,F,AT2G47460,PFG1|ATMYB12|MYB12,myb domain protein 12,0.590679746,0.866104186,0.81423898,0.192300294,0.908857485,0.674436138
4,245129_at,T,F,AT2G45350,CRR4,Pentatricopeptide repeat (PPR) superfamily protein,0.595589835,0.831366078,0.522183015,0.053942006,0.687125921,0.538041371
4,245130_at,T,F,AT2G45340,AT2G45340,Leucine-rich repeat protein kinase family protein,0.615059409,0.906459105,0.767564994,0.15030162,0.838312629,0.655539552
4,245131_s_at,F,NA,AT2G45330,emb1067,"RNA 2'-phosphotransferase, Tpt1 / KptA family",0.679274933,0.837027182,0.877185465,0.214915344,0.9104814,0.703776865
4,245138_at,T,F,AT2G45190,YAB1|AFO|FIL,Plant-specific transcription factor YABBY family protein,0.603990451,0.86345231,0.869427591,0.10477023,0.929708942,0.674269905
4,245139_at,T,F,AT2G45430,AHL22,AT-hook motif nuclear-localized protein 22,0.68417888,0.923669161,0.861693747,0.144167605,0.952822481,0.713306375
4,245140_at,T,F,AT2G45420,LBD18,LOB domain-containing protein 18,0.62943844,0.800866789,0.805022848,0.18239921,0.840925672,0.651730592
4,245141_at,T,F,AT2G45400,BEN1,NAD(P)-binding Rossmann-fold superfamily protein,0.695649329,0.884288075,0.740378801,0.089322559,0.841259014,0.650179556
4,245142_at,T,F,AT2G45270,GCP1,glycoprotease 1,0.738242712,0.927205673,0.835546762,0.183963004,0.955328947,0.72805742
4,245144_at,T,F,AT2G45240,MAP1A,methionine aminopeptidase 1A,0.584602413,0.787897536,0.820087502,0.124380602,0.880962183,0.639586047
4,245146_at,T,F,AT2G45200,GOS12|ATGOS12,golgi snare 12,0.50497561,0.710037807,0.887369393,0.164742636,0.831513864,0.619727862
4,245148_at,T,F,AT2G45220,AT2G45220,Plant invertase/pectin methylesterase inhibitor superfamily,0.522182053,0.841699212,0.846097175,0.046306793,0.883515811,0.627960209
4,245150_at,T,F,AT2G47590,PHR2,photolyase/blue-light receptor 2,0.673999056,0.913160042,0.870953102,0.156979296,0.926371505,0.7082926
4,245151_at,T,F,AT2G47550,AT2G47550,Plant invertase/pectin methylesterase inhibitor superfamily,0.62037152,0.88103441,0.883942777,0.198868108,0.895104894,0.695864342
4,245154_at,T,F,AT5G12460,AT5G12460,Protein of unknown function (DUF604),0.6574677,0.760015454,0.687405882,0.327510251,0.791263318,0.644732521
4,245156_at,T,F,AT5G12480,CPK7,calmodulin-domain protein kinase 7,0.690852422,0.911185391,0.846431251,0.206460902,0.965208231,0.724027639
4,245158_at,T,F,AT2G33130,RALF18|RALFL18,ralf-like 18,0.590683982,0.769867394,0.711050185,0.193298811,0.842404451,0.621460964
4,245159_at,T,F,AT2G33100,CSLD1|ATCSLD1,cellulose synthase-like D1,0.507851925,0.552548384,0.616511435,0.233854221,0.662477627,0.514648718
4,245162_at,T,F,AT2G33240,ATXID|XID,myosin XI D,0.756550482,0.783837702,0.757607284,0.261883827,0.874036943,0.686783248
4,245163_at,T,F,AT2G33230,YUC7,YUCCA 7,0.510291956,0.656949485,0.659463125,0.093989273,0.609061212,0.50595101
4,245164_at,T,F,AT2G33210,HSP60-2,heat shock protein 60-2,0.607307248,0.824505969,0.697667961,0.077254209,0.802584873,0.601864052
4,245165_at,T,F,AT2G33180,AT2G33180,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast stroma; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 57 Blast hits to 57 proteins in 22 species: Archae - 0; Bacteria - 8; Metazoa - 0; Fungi - 0; Plants - 35; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink).,0.703044579,0.898709969,0.868364769,0.20986815,0.954945736,0.726986641
4,245168_at,T,F,AT2G33150,PKT3|KAT2|PED1,peroxisomal 3-ketoacyl-CoA thiolase 3,0.566469618,0.549202683,0.785883921,0.323338968,0.752124378,0.595403914
4,245171_at,T,F,AT2G47560,AT2G47560,RING/U-box superfamily protein,0.612910799,0.883221852,0.810146846,0.030342141,0.856156514,0.63855563
