nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.262909_at,cor.256629_at,cor.259408_at,cor.259407_at,cor.265857_s_at,average,,,,,,,,,,,
4,245721_s_at,F,NA,AT1G73450,AT1G73450,Protein kinase superfamily protein,0.58221885,0.840397134,0.864244868,0.394902518,0.604336658,0.657220005,,,,,,,,,,,
4,245729_at,T,F,AT1G73490,AT1G73490,RNA-binding (RRM/RBD/RNP motifs) family protein,0.537767009,0.473875976,0.678154461,0.586473949,0.535480405,0.56235036,,,,,,,,,,,
4,245739_at,T,F,AT1G44110,CYCA1;1,Cyclin A1;1,0.353694562,0.530854941,0.516332055,0.5714958,0.636297199,0.521734911,,,,,,,,,,,
4,245771_at,NA,NA,NA,NA,NA,0.508710834,0.460519757,0.552061395,0.536272115,0.52757816,0.517028452,,,,,,,,,,,
4,245855_at,T,F,AT5G13550,SULTR4;1,sulfate transporter 4.1,0.527440381,0.721115378,0.906532726,0.261167491,0.634360212,0.610123237,,,,,,,,,,,
4,246059_at,T,F,AT5G08450,AT5G08450,CONTAINS InterPro DOMAIN/s: Histone deacetylation protein Rxt3 (InterPro:IPR013951); Has 34444 Blast hits to 20801 proteins in 1175 species: Archae - 64; Bacteria - 2390; Metazoa - 15568; Fungi - 3729; Plants - 1886; Viruses - 208; Other Eukaryotes - 10599 (source: NCBI BLink).,0.508176245,0.715172323,0.860538425,0.480604288,0.597607248,0.632419706,,,,,,,,,,,
4,246240_at,T,F,AT4G37130,AT4G37130,hydroxyproline-rich glycoprotein family protein,0.673613804,0.593157339,0.676374076,0.642279675,0.361181433,0.589321265,,,,,,,,,,,
4,246345_at,T,F,AT3G56760,AT3G56760,Protein kinase superfamily protein,0.527889448,0.797410419,0.824546521,0.25147161,0.6951728,0.61929816,,,,,,,,,,,
4,246355_at,NA,NA,NA,NA,NA,0.46742593,0.510250277,0.525596873,0.598494909,0.536359809,0.527625559,,,,,,,,,,,
4,246800_at,T,F,AT5G26780,SHM2,serine hydroxymethyltransferase 2,0.417534091,0.543139938,0.538685296,0.577356436,0.677870764,0.550917305,,,,,,,,,,,
4,246865_s_at,F,NA,AT5G27640,ATTIF3B1|TIF3B1|EIF3B|ATEIF3B-1|EIF3B-1,translation initiation factor 3B1,0.546218643,0.528017193,0.701321971,0.3471583,0.560961148,0.536735451,,,,,,,,,,,
4,246917_at,T,F,AT5G25280,AT5G25280,serine-rich protein-related,0.532555656,0.572791194,0.548889534,0.501861192,0.462047955,0.523629106,,,,,,,,,,,
4,246958_at,T,T,AT5G24690,AT5G24690,Protein of unknown function (DUF3411),0.502120397,0.657302831,0.901746563,0.200066873,0.568556679,0.565958669,,,,,,,,,,,
4,247092_at,T,F,AT5G66380,FOLT1|ATFOLT1,folate transporter 1,0.433509828,0.505792074,0.676336275,0.563447828,0.615771046,0.55897141,,,,,,,,,,,
4,247160_at,T,F,AT5G65820,AT5G65820,Pentatricopeptide repeat (PPR) superfamily protein,0.520410626,0.588808601,0.655178395,0.274760136,0.511535828,0.510138717,,,,,,,,,,,
4,247164_at,T,F,AT5G65720,NFS1|ATNFS1|NIFS1|ATNIFS1,nitrogen fixation S (NIFS)-like 1,0.533115215,0.508712104,0.636173208,0.499470774,0.58010072,0.551514404,,,,,,,,,,,
4,247202_at,T,F,AT5G65270,AtRABA4a|RABA4a,RAB GTPase homolog A4A,0.467721664,0.528975838,0.667626035,0.509336916,0.619851039,0.558702299,,,,,,,,,,,
4,247307_at,T,F,AT5G63860,UVR8,Regulator of chromosome condensation (RCC1) family protein,0.708775396,0.551395195,0.702071101,0.346606285,0.56543685,0.574856965,,,,,,,,,,,
4,247505_at,T,F,AT5G61970,AT5G61970,signal recognition particle-related / SRP-related,0.539647443,0.45609506,0.574875422,0.680427974,0.618603766,0.573929933,,,,,,,,,,,
4,247520_at,T,F,AT5G61310,AT5G61310,Cytochrome c oxidase subunit Vc family protein,0.469242845,0.586671553,0.784886744,0.584508271,0.606430893,0.606348061,,,,,,,,,,,
4,247554_at,T,F,AT5G61010,EXO70E2|ATEXO70E2,exocyst subunit exo70 family protein E2,0.55540395,0.792165371,0.791925834,0.176928828,0.597813743,0.582847545,,,,,,,,,,,
4,247569_at,T,F,AT5G61240,AT5G61240,Leucine-rich repeat (LRR) family protein,0.421486383,0.533929534,0.510827465,0.571478537,0.522421977,0.512028779,,,,,,,,,,,
4,247583_at,T,F,AT5G60750,AT5G60750,CAAX amino terminal protease family protein,0.586783007,0.429998283,0.7058053,0.512084431,0.624737317,0.571881668,,,,,,,,,,,
4,247629_at,T,T,AT5G60410,SIZ1|ATSIZ1,"DNA-binding protein with MIZ/SP-RING zinc finger, PHD-finger and SAP domain",0.63952003,0.543547599,0.709503877,0.581090637,0.402227485,0.575177926,,,,,,,,,,,
4,247650_at,T,F,AT5G59960,AT5G59960,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: nucleus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.568270556,0.735510588,0.727030642,0.254989442,0.615949422,0.58035013,,,,,,,,,,,
4,247654_at,T,F,AT5G59850,AT5G59850,Ribosomal protein S8 family protein,0.347192735,0.708567647,0.74968085,0.511211614,0.795289666,0.622388502,,,,,,,,,,,
4,247705_at,T,F,AT5G59460,AT5G59460,scarecrow-like transcription factor 11 (SCL11),0.646587621,0.575943988,0.618095036,0.665933528,0.44723503,0.590759041,,,,,,,,,,,
4,247825_at,T,F,AT5G58470,TAF15b,TBP-associated factor 15B,0.632654254,0.515294208,0.517356757,0.538290208,0.331028935,0.506924872,,,,,,,,,,,
4,247918_at,T,F,AT5G57610,AT5G57610,Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain,0.400845535,0.516319239,0.675073463,0.53493629,0.663280874,0.55809108,,,,,,,,,,,
4,247929_at,T,F,AT5G57330,AT5G57330,Galactose mutarotase-like superfamily protein,0.623319183,0.594613904,0.618503145,0.431421093,0.507907182,0.555152901,,,,,,,,,,,
4,247972_at,T,F,AT5G56740,HAC07|HAC7|HAG2|HAG02,histone acetyltransferase of the GNAT family 2,0.630591842,0.740573763,0.673876933,0.491077047,0.547967547,0.616817426,,,,,,,,,,,
4,248049_at,T,F,AT5G56090,COX15,cytochrome c oxidase 15,0.522882878,0.722837943,0.835472068,0.419832637,0.514176742,0.603040453,,,,,,,,,,,
4,248054_at,T,F,AT5G55820,AT5G55820,"CONTAINS InterPro DOMAIN/s: Inner centromere protein, ARK-binding region (InterPro:IPR005635); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",0.307605349,0.566172633,0.642148534,0.501431953,0.703010444,0.544073783,,,,,,,,,,,
4,248058_at,T,F,AT5G55530,AT5G55530,Calcium-dependent lipid-binding (CaLB domain) family protein,0.505177375,0.752890951,0.866150465,0.242082068,0.70142606,0.613545384,,,,,,,,,,,
4,248200_at,T,F,AT5G54160,ATOMT1|OMT1,O-methyltransferase 1,0.559655384,0.521047923,0.688222519,0.446065113,0.616543981,0.566306984,,,,,,,,,,,
4,248280_at,T,F,AT5G52950,AT5G52950,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.412934222,0.551869431,0.585208505,0.567242176,0.605447183,0.544540304,,,,,,,,,,,
4,248603_at,T,F,AT5G49430,AT5G49430,WD40/YVTN repeat-like-containing domain;Bromodomain,0.75406737,0.587774727,0.735132874,0.310651387,0.526096689,0.582744609,,,,,,,,,,,
4,248633_at,NA,NA,NA,NA,NA,0.164765994,0.513962511,0.605099238,0.521560527,0.705633837,0.502204422,,,,,,,,,,,
4,248955_at,T,F,AT5G45600,TAF14B|GAS41,YEATS family protein,0.491843085,0.608542039,0.682819171,0.545690026,0.654346628,0.59664819,,,,,,,,,,,
4,248958_at,T,F,AT5G45590,AT5G45590,Ribosomal protein L35,0.332445727,0.574798762,0.5606358,0.581280717,0.684396829,0.546711567,,,,,,,,,,,
4,249016_at,T,F,AT5G44750,REV1|ATREV1,DNA-directed DNA polymerases,0.211587125,0.547402351,0.568599718,0.517960378,0.726843317,0.514478578,,,,,,,,,,,
4,249076_at,T,F,AT5G43970,TOM9-2|ATTOM22-V|TOM22-V,translocase of outer membrane 22-V,0.354263017,0.651003239,0.674147241,0.543985781,0.696826433,0.584045142,,,,,,,,,,,
4,249268_at,T,F,AT5G41685,AT5G41685,"Mitochondrial outer membrane translocase complex, subunit Tom7",0.226168173,0.683152729,0.689565516,0.537947485,0.763812197,0.58012922,,,,,,,,,,,
4,249351_at,T,F,AT5G40440,MKK3|ATMKK3,mitogen-activated protein kinase kinase 3,0.696492632,0.617221357,0.720364632,0.524521566,0.471573729,0.606034783,,,,,,,,,,,
4,249365_at,T,F,AT5G40600,AT5G40600,unknown protein; FUNCTIONS IN: molecular_function unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G27420.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,0.56587203,0.566975024,0.570397774,0.511003192,0.49759351,0.542368306,,,,,,,,,,,
4,249446_at,T,F,AT5G39390,AT5G39390,Leucine-rich repeat protein kinase family protein,0.507352364,0.545307469,0.645773116,0.317883814,0.561409803,0.515545313,,,,,,,,,,,
4,249925_at,T,F,AT5G19150,AT5G19150,pfkB-like carbohydrate kinase family protein,0.551928279,0.567123347,0.743568017,0.340270253,0.528351452,0.54624827,,,,,,,,,,,
4,249931_at,T,F,AT5G22370,EMB1705|QQT1,P-loop containing nucleoside triphosphate hydrolases superfamily protein,0.617118476,0.604544668,0.635783589,0.665254869,0.427669655,0.590074251,,,,,,,,,,,
4,249995_at,T,F,AT5G18610,AT5G18610,Protein kinase superfamily protein,0.556627154,0.800534247,0.805742163,0.235592124,0.526894944,0.585078126,,,,,,,,,,,
4,250121_at,T,F,AT5G16500,AT5G16500,Protein kinase superfamily protein,0.540741982,0.55991815,0.536301252,0.501999261,0.45614609,0.519021347,,,,,,,,,,,
4,250178_at,T,F,AT5G14430,AT5G14430,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.488318027,0.689848135,0.676881363,0.56291015,0.650223455,0.613636226,,,,,,,,,,,
4,250186_at,T,F,AT5G14500,AT5G14500,aldose 1-epimerase family protein,0.56007252,0.52880729,0.65890027,0.293592957,0.662243151,0.540723237,,,,,,,,,,,
4,250207_at,T,F,AT5G13930,ATCHS|CHS|TT4,Chalcone and stilbene synthase family protein,0.597407499,0.611610543,0.730300479,0.278771849,0.572098171,0.558037708,,,,,,,,,,,
4,250343_at,T,F,AT5G11900,AT5G11900,Translation initiation factor SUI1 family protein,0.675822805,0.575998622,0.74664648,0.384838272,0.556833996,0.588028035,,,,,,,,,,,
4,250533_at,T,F,AT5G08640,FLS|ATFLS1|FLS1,flavonol synthase 1,0.620992011,0.676711715,0.752895711,0.387774229,0.595070233,0.60668878,,,,,,,,,,,
4,250602_s_at,F,NA,AT5G07980,AT5G07980,dentin sialophosphoprotein-related,0.507175337,0.797717699,0.908369116,0.135255134,0.532749723,0.576253402,,,,,,,,,,,
4,250637_at,T,F,AT5G07530,GRP17|ATGRP-7|ATGRP17,glycine rich protein 17,0.469650574,0.586276121,0.59887688,0.526159221,0.542369769,0.544666513,,,,,,,,,,,
4,250681_at,NA,NA,NA,NA,NA,0.201913202,0.514515869,0.545084364,0.569050045,0.673453146,0.500803325,,,,,,,,,,,
4,250898_at,T,F,AT5G03300,ADK2,adenosine kinase 2,0.289726329,0.569044045,0.625430247,0.541455652,0.776618137,0.560454882,,,,,,,,,,,
4,251041_at,T,T,AT5G02310,PRT6,proteolysis 6,0.626312043,0.509656329,0.741119183,0.329585618,0.535843737,0.548503382,,,,,,,,,,,
4,251063_at,T,F,AT5G01850,AT5G01850,Protein kinase superfamily protein,0.567668288,0.753264276,0.826232477,0.175550768,0.583493168,0.581241795,,,,,,,,,,,
4,251152_at,T,F,AT3G63130,ATRANGAP1|RANGAP1,RAN GTPase activating protein 1,0.417865702,0.720975671,0.781066865,0.524246214,0.685534924,0.625937875,,,,,,,,,,,
4,251164_s_at,F,NA,AT3G63340,AT3G63340,Protein phosphatase 2C family protein,0.451207263,0.511348389,0.679611371,0.524120189,0.615319694,0.556321381,,,,,,,,,,,
4,251265_at,T,F,AT3G62310,AT3G62310,RNA helicase family protein,0.522424972,0.744155315,0.84564982,0.411798076,0.618110268,0.62842769,,,,,,,,,,,
4,251331_s_at,F,NA,AT5G05620,GCP2|ATGCP2|TUBG2,gamma-tubulin  complex protein 2,0.225401634,0.675070773,0.576633339,0.516242378,0.595896169,0.517848859,,,,,,,,,,,
4,251378_at,T,F,AT3G60660,AT3G60660,unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1395 (InterPro:IPR009829); Has 131 Blast hits to 131 proteins in 44 species: Archae - 0; Bacteria - 0; Metazoa - 83; Fungi - 0; Plants - 45; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).,0.487628372,0.710675902,0.744225839,0.516758463,0.605357346,0.612929184,,,,,,,,,,,
4,251476_at,T,F,AT3G59670,AT3G59670,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G37440.2); Has 77 Blast hits to 77 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 73; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink).,0.355201474,0.621416419,0.756696131,0.539367118,0.633883361,0.581312901,,,,,,,,,,,
4,251558_at,T,F,AT3G57810,AT3G57810,Cysteine proteinases superfamily protein,0.377377702,0.517108084,0.515519428,0.507192214,0.567358862,0.496911258,,,,,,,,,,,
4,251717_at,T,F,AT3G55850,LAF3 ISF2|LAF3 ISF1|LAF3,Amidohydrolase family,0.401689164,0.700458442,0.81292296,0.502873835,0.638653994,0.611319679,,,,,,,,,,,
4,251748_at,T,F,AT3G55680,AT3G55680,Plant invertase/pectin methylesterase inhibitor superfamily protein,0.5028625,0.548781307,0.568652683,0.439655274,0.504580661,0.512906485,,,,,,,,,,,
4,251808_at,T,F,AT3G55480,PAT2,protein affected trafficking 2,0.578812431,0.610400893,0.524076003,0.533207331,0.451469039,0.539593139,,,,,,,,,,,
4,251827_at,T,F,AT3G55120,A11|TT5|CFI,Chalcone-flavanone isomerase family protein,0.538677631,0.525515393,0.640679583,0.462638196,0.508775465,0.535257254,,,,,,,,,,,
4,251853_at,T,F,AT3G54790,AT3G54790,ARM repeat superfamily protein,0.667338632,0.600180391,0.673213239,0.342004294,0.500879075,0.556723126,,,,,,,,,,,
4,251980_at,T,F,AT3G53270,AT3G53270,"Small nuclear RNA activating complex (SNAPc), subunit SNAP43 protein",0.564521006,0.707304899,0.797664763,0.367398615,0.526841918,0.59274624,,,,,,,,,,,
4,252015_at,NA,NA,NA,NA,NA,0.357957093,0.644428119,0.67165531,0.551935463,0.503715905,0.545938378,,,,,,,,,,,
4,252067_at,T,F,AT3G51370,AT3G51370,Protein phosphatase 2C family protein,0.540018822,0.596779162,0.774683251,0.246398833,0.525909215,0.536757857,,,,,,,,,,,
4,252206_at,T,F,AT3G50360,CEN2|CEN1|ATCEN2,centrin2,0.515402304,0.737586545,0.859524522,0.362396923,0.676496143,0.630281287,,,,,,,,,,,
4,252319_at,T,F,AT3G48710,AT3G48710,DEK domain-containing chromatin associated protein,0.532757135,0.793423507,0.849407783,0.42034036,0.686775589,0.656540875,,,,,,,,,,,
4,252405_at,T,F,AT3G48120,AT3G48120,unknown protein; Has 22990 Blast hits to 12942 proteins in 666 species: Archae - 8; Bacteria - 739; Metazoa - 13803; Fungi - 2465; Plants - 1363; Viruses - 116; Other Eukaryotes - 4496 (source: NCBI BLink).,0.600323324,0.542826505,0.666156389,0.572122882,0.467030312,0.569691883,,,,,,,,,,,
4,252425_at,T,F,AT3G47620,AtTCP14|TCP14,"TEOSINTE BRANCHED, cycloidea and PCF (TCP) 14",0.577950424,0.751038372,0.857389604,0.238783061,0.587550631,0.602542419,,,,,,,,,,,
4,252552_at,T,F,AT3G45900,AT3G45900,Ribonuclease P protein subunit P38-related,0.501407103,0.759910263,0.85006166,0.267646679,0.640742405,0.603953622,,,,,,,,,,,
4,252837_at,T,F,AT3G42080,AT3G42080,contains InterPro domain t-snare; (InterPro:IPR010989),0.508205603,0.577800711,0.659951033,0.289429377,0.50946233,0.50896981,,,,,,,,,,,
4,252843_at,T,F,AT3G42130,AT3G42130,glycine-rich protein,0.576765241,0.608001598,0.626965879,0.630147044,0.499986731,0.588373299,,,,,,,,,,,
4,252923_at,NA,NA,NA,NA,NA,0.285906016,0.659942231,0.64792467,0.514005999,0.717548063,0.565065396,,,,,,,,,,,
4,252980_at,T,F,AT4G38040,AT4G38040,Exostosin family protein,0.635486899,0.540057539,0.69475261,0.348651999,0.53577816,0.550945441,,,,,,,,,,,
4,253053_at,T,F,AT4G37470,AT4G37470,alpha/beta-Hydrolases superfamily protein,0.487316738,0.555254304,0.701855455,0.51901236,0.506808957,0.554049563,,,,,,,,,,,
4,253054_at,T,F,AT4G37580,HLS1|COP3|UNS2,Acyl-CoA N-acyltransferases (NAT) superfamily protein,0.689243247,0.517001545,0.616375187,0.42373644,0.51593772,0.552458828,,,,,,,,,,,
4,253168_at,T,F,AT4G35070,AT4G35070,SBP (S-ribonuclease binding protein) family protein,0.443543569,0.520328825,0.556505608,0.646734814,0.674997804,0.568422124,,,,,,,,,,,
4,253210_at,T,F,AT4G34840,ATMTN2|MTN2|MTAN2|ATMTAN2,Phosphorylase superfamily protein,0.516728182,0.828037048,0.864334745,0.338622004,0.618039386,0.633152273,,,,,,,,,,,
4,253404_at,T,F,AT4G32840,PFK6,phosphofructokinase 6,0.153698685,0.529593042,0.648107602,0.516310005,0.762860571,0.522113981,,,,,,,,,,,
4,253552_at,T,F,AT4G30890,UBP24,ubiquitin-specific protease 24,0.518216502,0.804179631,0.884887566,0.17505052,0.549171109,0.586301066,,,,,,,,,,,
4,253620_at,T,F,AT4G30520,AT4G30520,Leucine-rich repeat protein kinase family protein,0.552209854,0.437496889,0.507350548,0.503680214,0.597078595,0.51956322,,,,,,,,,,,
4,253646_at,T,F,AT4G29810,ATMKK2|MKK2|MK1,MAP kinase kinase 2,0.495619854,0.541509544,0.561260704,0.574520842,0.535243843,0.541630958,,,,,,,,,,,
4,253651_at,T,F,AT4G30030,AT4G30030,Eukaryotic aspartyl protease family protein,0.518929191,0.546706192,0.615380124,0.320688037,0.576071165,0.515554942,,,,,,,,,,,
4,253727_at,T,F,AT4G29350,PFN2|PRO2|PRF2,profilin 2,0.540696696,0.634895495,0.727648301,0.445514291,0.701705803,0.610092117,,,,,,,,,,,
4,253780_at,T,F,AT4G28400,AT4G28400,Protein phosphatase 2C family protein,0.532154837,0.603234067,0.779500501,0.359616888,0.730733164,0.601047891,,,,,,,,,,,
4,254047_at,T,F,AT4G26040,AT4G26040,unknown protein; Has 2 Blast hits to 2 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.515430141,0.493236521,0.576977101,0.544507054,0.547128223,0.535455808,,,,,,,,,,,
4,254169_at,T,F,AT4G24290,AT4G24290,MAC/Perforin domain-containing protein,0.539205121,0.731747131,0.78714504,0.074317779,0.606492762,0.547781566,,,,,,,,,,,
4,254358_at,T,F,AT4G22310,AT4G22310,Uncharacterised protein family (UPF0041),0.550057201,0.724061985,0.876692641,0.35691719,0.72403938,0.64635368,,,,,,,,,,,
4,254537_at,T,F,AT4G19730,AT4G19730,Glycosyl hydrolase superfamily protein,0.576800003,0.758596659,0.770405577,0.182013973,0.50839409,0.55924206,,,,,,,,,,,
4,254704_at,T,F,AT4G18020,PRR2|APRR2,CheY-like two-component responsive regulator family protein,0.636921687,0.594038179,0.767129146,0.506648172,0.381780551,0.577303547,,,,,,,,,,,
4,254770_at,T,F,AT4G13340,AT4G13340,Leucine-rich repeat (LRR) family protein,0.554688127,0.775843372,0.843153512,0.186474347,0.564079884,0.584847848,,,,,,,,,,,
4,254791_at,T,F,AT4G12910,scpl20,serine carboxypeptidase-like 20,0.510877306,0.746649282,0.741959637,0.025685429,0.521098153,0.509253961,,,,,,,,,,,
